merchant_description;mcc;city;country;amount;date
GOPAY  *AUTO-RICAMBI.EU;5533;AUTO-RICAMBI.;SK;33.78;2026-02-27
ASTRA EVENTS AG;5812;ZUERICH;CH;158.48;2025-10-17
JR EAST SHOPPING CENTER;5399;SIBUYAKU;JP;85.32;2025-11-16
PGE EPLATNOSCI EBOK ON;4900;RZESZOW;PL;124.05;2026-01-18
SAINATH NEWS;5411;LONDON;GB;157.23;2026-02-11
PAYPAL *WOW A7FBC ENTE;4899;35314369001;DE;36.33;2025-11-02
DROPBOX 766V7721FLQF;4816;DB.TT/CCHELP;IE;97.23;2025-10-19
GOPAY  *PIVOVARRAMPUSA;5921;DOBRUSKA;CZ;198.72;2025-10-06
JONES THE GROCER;5812;LONDON;GB;107.57;2026-03-02
GOPAY  *LOBEY.CZ;5977;BRNO;CZ;16.11;2026-03-08
ABALON ***HOTEL -IDEAL;7011;STUTTGART;DE;79.54;2026-02-16
MESTSKE PARKOVACI DOMY;7523;MLADA BOLESLA;CZ;189.84;2026-02-21
SANEF           4789125;4784;60SENLIS;FR;56.33;2026-01-19
U-STORE JUNGFERNSTIEG;5994;HAMBURG;DE;107.21;2025-12-08
NYA*LIQUID CULTURE;5499;ABERYSTWYTH;GB;60.29;2026-02-17
VEGYES A'RUHA'Z;5499;JASZBERENY;HU;73.07;2026-01-26
PEPCO 150031 TATABANYA;5331;VERTESSZOLOS;HU;119.01;2025-10-01
RESIDENCE OLIVOTTI DI;7011;FINALE LIGURE;IT;198.22;2026-03-15
BROCKENHURST COLLEGE;8220;BROCKENHURS;GB;61.12;2025-12-19
NYX*NESPRESSO;5814;VILLENEUVEDA;FR;36.05;2026-03-14
GREGGS PLC;5812;GLASGOW;GB;69.48;2026-01-30
SKYSHOWTIME CF000 SHTANDA;4899;AMSTERDAM;NL;112.93;2025-11-14
BASTEA IOAN DANIEL;6012;REVOLUT.COM;LT;171.7;2025-10-27
MERPAGO*DRUGSTORE;5399;CAUELAS ARG;AR;156.99;2025-12-06
FOODORA_CZ_SUB-2OELELVLNW;5499;PRAGUE 8;CZ;123.98;2026-01-29
HOTEL MERCURE WEST;3579;KOELN;DE;198.17;2026-01-09
TIMEOUTLET.CZ;5094;JANKOVICE;CZ;69.24;2025-12-15
SHELL FORTH ROAD S;5541;SOUTH QUEENSF;GB;34.79;2025-12-09
TST*FELIPES TAQUERIA;5812;CAMBRIDGE;US;186.13;2026-01-07
LIME*PASS WMEG;4789;WALLISELLEN;CH;114.27;2025-11-24
IA BILET SRL;7922;SECTOR 2;RO;63.93;2025-11-05
LIME*RIDE QIT3;7519;CZECH REPUBLI;CZ;197.64;2025-11-24
JOOSIKHWESA ASUNGDAISO;5499;SEOUL;KR;138.0;2026-01-02
MICROSOFT-G065274117;5045;MSBILL.INFO;IE;78.37;2026-03-16
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB;179.47;2026-01-17
DANUBIUS HOTELS ZRT.;7011;BUDAPEST;HU;93.83;2025-11-15
KINDII BAAN THAI;5812;390228093597;IT;33.72;2026-01-07
TOOGOODT TR47MDFM74WF0;5812;TOOGOODTOGO.C;DK;41.74;2026-03-19
KOVACS DANIEL;2741;SZEGED;HU;186.65;2025-11-25
SEPHORA PROMENADE AT U;5977;DRESHER;US;70.62;2025-12-24
UV PIZZERIA;5812;BANSKA STIAVN;SK;188.63;2026-02-07
PAYPAL BLIZZARD EU233856;5816;35314369001;IE;53.38;2025-11-03
IL BOCCONE GASTST TTEN;5812;KONSTANZ;DE;89.56;2025-12-20
SUPERMERCADO SANTIAGO II;5947;ARONA;ES;175.81;2025-12-08
PAYPAL *ORDERSMART;7372;0611236350;DE;80.4;2026-02-16
SUMUP  *MONKEYS BURGER;5814;OBERTSHAUSEN;DE;76.41;2025-10-17
BKG*GUESTHOUSE POORTAC;4722;(888)850-3958;NL;131.0;2025-12-08
1144 DOERFER E.K.;5411;DORTMUND;DE;81.4;2025-11-13
ETSY.COM*SIMBIOXSTUDIO;5699;DUBLIN 1;IE;29.5;2025-11-14
ACS*22761547 THREE;4814;ROTTERDAM;NL;93.21;2025-09-28
SAJEEKA SWISS GMBH;7298;ZURICH;CH;46.36;2026-01-07
SCHNEESPORT TABERHOFER;5941;SPITAL/SEMMER;AT;82.11;2025-11-05
SHELL TO:LTOA'LL. 074;5541;BUDAPEST;HU;184.44;2025-12-07
TRANSFERGO*VITALII*SAKA;4829;LOVISA DIRECT;LT;137.2;2025-11-20
ROSSMANN 3213;5912;EMSBUEREN;DE;132.26;2025-12-19
SKYSHOWTIME 4A0C3 STAN;4899;AMSTERDAM;NL;49.89;2026-02-10
WELCOMOTEL;7011;BEAUVAIS;FR;196.19;2026-03-03
JR EAST SHOPPING CENTER;5399;SIBUYAKU;JP;178.95;2025-10-09
MIGROS M LOSONE;5411;LOSONE;CH;35.37;2026-01-08
SGS;7349;MONTREUIL;FR;126.07;2026-01-30
TOOGOODTOG Q0ET31WF3MR;5812;COPENHAGEN;DK;48.71;2025-10-08
SINGULARIS CC BCN;5812;RIBAGOR A  CA;ES;34.95;2025-12-28
TESCO STORES 6267;5411;KINNEGAD;IE;101.65;2025-12-05
CVS/PHARMACY #08871;5912;MARINA DEL RE;US;104.08;2026-03-13
ANHNGDY4ZXYH#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;147.07;2026-03-23
SEM MOBILITE�CUM;4111;LQ5ZDILOF274�;FR;199.38;2025-12-31
SIMA 2013 EOOD;5921;SOFIA;BG;84.75;2025-10-21
LE MARLY;5812;NEUILLY SUR S;FR;113.05;2025-11-08
FOODORA_AT_FP5U-2532-A;5499;WIEN;AT;141.56;2025-12-29
BOLT.EUD2510081100;5812;TALLINN;EE;43.11;2025-10-15
NOW X7183 ULTRA BO;5815;LONDON;GB;12.33;2026-01-21
LIME*RIDE KXL6;7519;BULGARIA;BG;164.11;2026-02-07
NOOR SAMA AL MADINA GR;5411;DUBAI;AE;187.56;2025-12-18
TOTAL DEUTSCHLAND GMBH;5541;UNNA;DE;94.54;2026-01-09
ITX RETAIL SUISSE SÀRL, 3;5691;ST. GALLEN;CH;79.12;2025-12-18
SQ *PRIMAVERA SOUND SL;5813;BARCELONA;ES;13.33;2025-10-17
M1VRFB5546  *MIXGYM S;7999;LIBEREC;CZ;76.11;2026-01-14
NEAGOIE ANDREEA;6012;VISA DIRECT;LT;73.08;2026-01-02
NYX*THERUDDGROUP;5499;NEWCASTLEUPON;GB;40.84;2025-10-19
ITX BULGARIA LTD.;5691;SOFIYA;BG;153.11;2025-11-09
RLA*NL3KL3VHU;5811;MCMAHONS POIN;AU;157.6;2025-10-08
MRCR*ROMAN*ROVENETS;6051;VISA DIRECT;HR;122.06;2026-03-11
LIME*RIDE 4PJN;4789;BUCHAREST;RO;25.44;2025-11-04
NOW F6D2F GB BASIC;5815;LONDON;GB;95.93;2025-11-19
FEDEX82480468;4215;T08456 070809;GB;192.29;2026-03-06
FOODORA_AT_WDVC-2539-BU7D;5499;WIEN;AT;13.65;2026-03-22
ETSY.COM*PARRYGOLDJEWELS;5399;LONDON;GB;66.06;2026-02-18
SUPERMERC PAO QUENTE;5411;FARO;PT;171.62;2025-11-07
WWW.PLANITY.COM;7298;PARIS;FR;72.83;2026-02-10
TAOBAO.COM;5311;LONDON;GB;16.94;2025-11-25
PRODEJNA MARTA 100;5462;DOBRUSKA;CZ;175.72;2026-03-08
1248350749;4899;BRATISLAVA;SK;167.9;2026-02-26
OMV 1917;5541;MISKOLC KILIA;HU;123.77;2025-10-21
BKG*HOTEL PALAFOX;4722;(888)850-3958;NL;69.56;2026-02-21
H&M DE0620;5651;BREMEN;DE;68.5;2025-10-18
32RED;7995;2560933191;GB;129.7;2026-01-24
UKVI;9399;14C47604-DB64;GB;7.96;2025-12-07
KLM CARGO;4511;ELMSFORD;CH;67.53;2026-03-03
ENBW ENERGIE BW AG;4900;720016358481;DE;156.24;2026-01-13
DELIJN##HASH##;4111;DL HJBYAK0G;BE;128.82;2025-10-26
GOOGLE YOUTUBE;5045;DUBLIN;IE;82.28;2025-12-18
BK12743 VIRGEN DEL PUE;5814;MADRID;ES;166.09;2025-11-16
PROTV 7493402487;4899;BUCHAREST;RO;16.58;2026-01-07
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB;176.83;2026-03-15
AMAZON UK* YV5T74L05;5399;LONDON;GB;187.54;2025-11-09
PAYPAL *PARFUMGROUP;5977;060413999722;DE;5.9;2025-11-18
5566A ROI ULTR;5815;DUBLIN 4;IE;153.0;2025-10-15
NOW CCBDF SKY CINE;5815;LONDON;GB;99.05;2026-03-22
DEPA* BAER;6051;RUMBURK;ES;65.73;2026-01-06
5PZLX7APPAZK#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;96.7;2026-03-07
KFC LYON PARTDIE;5814;LYON;FR;139.42;2025-12-27
TV NOVA 4732842329;4899;PRAHA 5;CZ;28.78;2025-12-27
FOODORA_AT_SFXB-2520-0;5499;WIEN;AT;82.37;2025-09-29
PRIMARIA SOIMUS;9311;SOIMUS;RO;183.62;2026-01-21
LOJAS AMERICANAS;5311;PELOTAS;BR;125.2;2025-11-04
PARKHAUS LUDWIGSPLATZ;7523;KARLSRUHE;DE;61.15;2026-02-24
HYPEDROP;7994;5515581;CY;34.9;2026-02-26
BANXA ZENGO 10750818;6051;AMSTERDAM;NL;169.2;2025-11-24
EUC KLINIKA KLADNO K;5912;KLADNO;CZ;142.5;2026-03-18
AMAZON UK* 915YM01H5;5399;LONDON;GB;132.84;2025-11-12
FRUUGO.COM;5311;ULVERSTON;GB;109.97;2025-10-10
LIDL HU 222 ZALAEGERSZ;5411;Z ZALAEGERSZE;HU;91.07;2026-03-10
TICKET COFFEE;5814;SAINT RAPHAEL;FR;142.78;2025-10-27
O17678100026657917 APP BR;9311;TORINO;IT;89.79;2025-11-07
ANKER HBHF SALZBURG;5462;SALZBURG;AT;35.71;2026-02-16
STAS�CUMUL;4111;SKYRVWXOKJGY�;FR;74.61;2026-02-10
"OLYMPIA PARK DO&AMP;CO";5812;MUENCHEN;DE;149.6;2025-12-31
SSP EGYPT HURGHADA;5814;HURGHADA -25B;EG;153.49;2026-01-18
DB FERNVERKEHR AG;5812;FRANKFURT;DE;20.36;2026-01-26
BOLT.EU/O/2403312235;4121;TALLINN;EE;60.76;2026-03-14
SHELL 8112;5541;CHOMUTOV-BREZ;CZ;142.61;2025-10-22
TV NOVA 7264772766;4899;PRAHA 5;CZ;121.71;2026-02-14
L ORIENTHAIL;5814;VILLENAVE D O;FR;67.69;2026-01-11
DVLA PERSONALISED REG;9399;SWANSEA;GB;176.56;2025-11-09
AMAZON UK* U760J3CI5;5399;LONDON;GB;45.71;2025-12-29
SKYSHOWTIME CAE3C STAN;4899;AMSTERDAM;NL;33.11;2026-03-13
WOW DF1BE ENTERTAI;4899;UNTERFOEHRING;DE;115.64;2026-02-01
DELIJN##HASH##;4111;DL H3BZCLN3;BE;14.41;2025-10-26
MOONPAY*MOONPAY 1953;6051;DUBILN;IE;137.99;2026-02-06
CESKA POSTA;9402;CHEB;CZ;179.08;2026-01-06
BOLT.EU/O/2501021640;4121;TALLINN;EE;72.31;2025-10-26
EMPRESA MUNICIPAL EMT;4111;MADRID;ES;100.72;2025-10-12
JD WETHERSPOON;5813;WATFORD;GB;18.24;2025-12-20
TV NOVA 0168901756;4899;PRAHA 5;CZ;52.53;2026-01-20
WWW.AMAZON.* MJ9U509Z5;5399;LUXEMBOURG;LU;182.83;2025-12-10
LAWSON;5499;TOKYO;JP;60.37;2025-10-18
BRANDING;5812;NOORDWIJK;NL;147.31;2025-11-24
TFL TRAVEL CHARGE;4111;TFL.GOV.UK/CP;GB;54.13;2025-10-21
LIME* LJ33;4789;WIEN;AT;161.19;2025-10-05
GRAB* A-5KK6RIFWWG8J;5812;SOUTH JAKARTA;ID;26.63;2026-02-04
ROOMSTOCK.CZ;5651;ZLIN 1;CZ;100.32;2026-01-13
SPAR;5251;NANTES        FRA;FR;186.47;2025-12-14
GOPAY *YOGABRNO.CZ;7929;BRNO;CZ;154.85;2025-12-22
AMAZON UK* ZL3QW8UX4;5399;LONDON;GB;23.98;2025-11-11
LIDL HU 196 SARVAR;5411;SARVAR;HU;21.3;2026-02-11
BOOTS;5912;THIRSK;GB;7.12;2025-09-29
D HERNANDEZ MINISTRIES;5973;DOWNEY;US;58.47;2026-02-22
NOW 00E75 SPORTS;5815;LONDON;GB;152.3;2025-10-02
BOLT.EU/R/2512261519;7512;TALLINN;EE;24.93;2026-01-19
NYX*ASOVENDINGSRO;5499;BANSKABYSTRIC;SK;176.6;2026-02-02
MCDONALDS 064;5814;NORTHAMPTON;GB;166.31;2025-12-13
AMAZON UK* 6H7409SP5;5399;LONDON;GB;189.83;2025-11-29
I SAPORI DELLA PASTA;5499;MILANO;IT;14.56;2025-11-06
TISAK P-2156;5994;ZAGREB;HR;57.46;2025-10-15
COOP-1996 BIEL BAH;5411;BIEL/BIENNE;CH;11.49;2026-01-07
LH EMV MC2204008693188;3008;CLUJ-NAPOCA;RO;100.56;2025-11-16
RENAISSANCE POLAT IS;7011;ISTANBUL;TR;78.92;2025-11-28
PAYMENT;4829;P TY;GB;46.44;2025-12-28
SQSP* WEBSIT#199996793;7372;NEW YORK;US;131.29;2025-10-19
VMS ROADCHEF FOLKESTON;5814;NORTON CANES;GB;80.09;2025-10-08
BRODERICK VEND;5499;MANCHESTER;GB;159.24;2025-12-16
GALERIE VSETIN PARKOV;7523;VSETIN;CZ;151.33;2025-12-31
ORDER O-Y38O9JY;5816;VILNIUS;LT;160.06;2026-02-08
ACS*20281023 THREE;4814;ROTTERDAM;NL;158.48;2026-02-26
HOTEL OSTROV;7011;TISA;CZ;161.86;2026-03-07
SLOVNAFT-SK10527;5541;NOVA BANA;SK;99.61;2026-02-05
CRV*ADYEN T416 PREROV;5712;DUBLIN;IE;113.55;2025-12-20
ALDI SUED;5411;PFUNGSTADT;DE;175.05;2026-02-19
NAYAX **TENPIN LIMITED;7994;CRANFIELD;GB;85.96;2026-01-19
32RED;7995;2547189561;GB;31.96;2026-01-17
1754640556;4899;BRATISLAVA;SK;73.28;2025-12-30
LIME*PASS SO4P;4789;ABU DHABI;AE;38.93;2026-01-23
MOONPAY*UNISWAP 8379;6051;MOONPAY.COM;IE;144.21;2025-12-13
LIME*VIAGEM QAPS;4789;STOCKHOLM;SE;195.14;2025-12-06
TXW*LONDON TAXI 67264;4121;GLASGOW;GB;26.8;2026-03-05
ST1 TURKU HIRVENSALO Y;5542;TURKU;FI;47.51;2025-09-29
FEDEX36172906;4215;T08456 070809;GB;170.89;2025-11-16
REPROMEDIA 01;2741;GLIWICE;PL;101.95;2025-12-15
LOACKER CAFE;5813;BRENNER;IT;59.27;2025-10-31
DUBAI TAXI;4111;DUBAI;AE;83.34;2025-11-24
KIDOLOGIC KFT.;5945;DEBRECEN;HU;151.1;2026-01-02
MH.BHD 7.SZ.KORK BUF;5411;ERDOBENYE;HU;72.2;2025-10-14
FOODORA_AT_BTMX-2431-Z;5499;WIEN;AT;40.4;2026-02-01
SKYSHOWTIME E69E3 SHOWTIM;4899;AMSTERDAM;NL;88.07;2025-10-15
AMAZON UK* ZC8801WL4;5399;LONDON;GB;130.08;2025-11-30
HELP.REVERSE.HEALTH;8099;7207649699;US;188.95;2025-11-17
NYX*BEANME;5499;GENEVE;CH;163.69;2026-03-16
FALCONERI;5631;LAUSANNE;CH;9.38;2026-02-27
FOODORA_AT_GIKO-9J1S;5499;WIEN;AT;41.76;2025-12-21
BRITISH AWYS1254254248457;3005;UNITED KINGDO;GB;47.78;2026-03-05
PIEKARNIA DUBIELAK;5462;PABIANICE;PL;128.47;2025-12-20
AMAZON UK* ZX67N8SC4;5399;LONDON;GB;40.23;2026-01-16
JMP S.A. BIEDRONKA 645;5411;5 KRAKOW;PL;164.58;2025-10-23
STOCKX MARKETPLACE NL B.V;5691;VELDHOVEN;NL;151.13;2025-10-08
LIDL GRYFA POMORSKIEGO;5411;GDYNIA;PL;172.84;2026-03-24
NYX*PGGROUP;5814;PICKERING;GB;18.46;2025-10-14
TV NOVA 4355268699;4899;PRAHA 5;CZ;22.77;2026-01-25
AERO FARMACIA;5912;PALMA DE MALL;ES;27.27;2026-01-03
H&M DE0678;5651;PADERBORN;DE;13.64;2025-12-30
BABBEL.COM 38642486;8299;BERLIN;DE;112.82;2025-10-16
BINGO.COM;7995;2402804216;MT;97.64;2026-01-03
ROSSMANN 3270;5912;AUGSBURG;DE;94.62;2025-12-31
PAYPAL *WOW D26A4 PREMI;4899;35314369001;DE;87.62;2025-10-25
COFF.EE* ADINAGIURGEA;5816;HTTPSWWW.BUYM;US;38.32;2026-01-07
AMAZON UK* Z57J27TV4;5399;LONDON;GB;84.85;2025-11-15
LIDL 555 NIJMEGEN;5411;NIJMEGEN;NL;122.62;2026-01-10
X6559 SKY SPOR;4899;DUBLIN 4;IE;96.69;2025-12-27
SQ *EASTWOODS DINING;5812;AIRLIE BEACH;AU;92.72;2025-10-21
EQUILUX AERO RETAIL;5811;BARCELONA;ES;15.89;2025-12-25
NOW 3E3F9 CINEMA;5815;LONDON;GB;6.67;2026-02-21
BOUTIQUEOFF.COM 4320776;5691;69PARIS 12;FR;32.03;2025-11-28
UKVI;9399;F71AE99B-37E1;GB;133.49;2025-12-19
UBER   *TRIP;4121;HELP.UBER.COM;NL;161.23;2025-12-20
H&M ESSEN 1DE0383;5651;ESSEN;DE;78.9;2025-11-01
LAPOSTE L042090;9402;SISTERON;FR;189.91;2025-10-26
SKMG GROUP*19.00 EUR;5817;LONDON;GB;61.97;2026-02-20
MCDONALDS 857;5814;BASILDON;GB;124.92;2026-01-11
GARAZA CVJETNI;7523;ZAGREB;HR;38.35;2025-10-23
GOPAY  *E-PNEUMATIKY.C;5532;BRNO;CZ;109.63;2026-03-09
GLS D32 PLZEN;4215;TYMAKOV;CZ;132.39;2025-10-23
LIDL RO 0267;5411;TUNARI;RO;150.56;2025-09-29
ATHOS BISTRO PIZZA;5811;BUCURESTI;RO;148.45;2025-12-23
BOLT.EUD2508261039;5812;TALLINN;EE;13.76;2026-01-02
CARREFOURMARKET;5411;PARIS;FR;60.98;2025-12-02
MY_IAD;6011;GEORGETOWNGEO;MY;126.75;2026-01-11
WWW.AMAZON* 404-727469;5399;14018657948;LU;151.52;2025-12-21
HAMZA KEBAB ROZVOZ;5812;TRINEC;CZ;102.97;2025-11-13
MINIMARKET - POTRAVINY;5411;RAKOVNIK;CZ;138.75;2025-10-03
SPIEGEL* KN 206489 ABO;5815;494030073070;DE;114.69;2025-10-18
DB VERTRIEB GMBH;4112;149215952205;DE;13.62;2025-11-09
LIDL SAGT DANKE;5411;LIMBURG;DE;131.55;2025-10-02
LE RELAIS DE VENISE L';5812;LONDON;GB;169.55;2026-01-31
HOTMART TEPPROTOCOL;8299;AMSTERDAM;NL;175.43;2025-11-14
GOPAY  *WORKNOW.CZ;5200;HTTPS://WORKN;CZ;153.91;2026-02-04
WOW X5708 ENTERTAI;5815;UNTERFOEHRING;DE;180.71;2026-03-21
TV NOVA 5922088212;4899;PRAHA 5;CZ;174.27;2026-02-05
DELI GROUP PROFESSIONA;5814;BUCURESTI;RO;11.28;2026-01-20
32ROSU;7995;2666689221;MT;77.75;2026-03-08
AV GASTRO;5812;PRAHA 5;CZ;92.3;2025-12-26
F5EFA BOOST;5815;DUBLIN 4;IE;186.68;2025-10-10
M1 LOUNGE;5813;PRAHA;CZ;43.89;2025-11-29
NYX*EGFRANCESASKYCEXTE;5499;LECHESNAYROC;FR;27.41;2026-01-22
TOOGOODT R4KC43S8CKRT0;5812;TOOGOODTOGO.D;DK;42.73;2025-12-29
SZENTENDREI CORDEN V;8099;SZENTENDRE;HU;48.7;2026-01-06
HOLDIS E LECLERC;5411;BEYNOST;FR;130.34;2026-01-02
KVETY MIRKA, RV;5193;ROZNAVA;SK;165.89;2025-12-20
DELIJN##HASH##;4111;DL GNO8Q6FA;BE;100.32;2025-12-24
SKYSHOWTIME 154EB STAN;4899;AMSTERDAM;NL;8.25;2025-11-27
STM SQUARE VICTO DIN10;4131;MONTREAL;CA;116.94;2026-03-17
THAIGER.IE;5812;NEWBRIDGE;IE;141.95;2025-12-04
LA METROPOLE MOB;4111;0ZMUP5VCO4CI�;FR;183.03;2025-10-08
EDDIE ROCKET CELBRIDGE;5812;CO. KILDARE;IE;37.16;2025-10-09
IKEA ZWOLLE EXPRESS CH;5712;ZWOLLE;NL;29.94;2025-11-03
MARKS&SPENCER PLC;5411;CHELMSFORD;GB;163.57;2025-11-17
TXW*LONDON TAXI 77006;4121;GLASGOW;GB;101.61;2026-02-27
MARIACASINO;7995;2214076053;MT;83.25;2026-03-23
LIQUORLAND 3643LIQUORL;5921;WINDSOR;AU;196.79;2025-12-10
RISTORANTE AL MANIERO..;5812;ISSOGNE;IT;105.35;2025-11-04
WM SUPERCENTER #5693;5411;SPRINGFIELD;US;79.43;2026-03-05
KAUFLAND 6000 ORADEA;5411;ORADEA;RO;127.86;2025-10-31
HORST ARTS AND MUSIC;5813;LEUVEN;BE;62.03;2025-12-28
PAYPAL *AIRALO;4814;4029357733;SG;80.02;2026-02-22
BOLT.EUR2508051516;5812;TALLINN;EE;34.51;2025-12-12
MOL*ROME INTERNATIO...;5399;4940244241670;DE;31.87;2025-12-02
MCDONALDS 6139;5814;RAWLINS;US;103.11;2026-01-17
TAXIWORLD LIMITED*LONDON;4121;GLASGOW;GB;85.58;2026-02-11
VENEZIA MESTRE SELF SE;4112;VENEZIA;IT;115.12;2025-10-07
PAYBYPHONE-5KMDOVYZBXWP;7523;HOVE;GB;38.14;2026-03-20
SUPER MARCHE;5331;LES HOUCHES;FR;8.17;2026-03-23
LIME*BERLET GDIV;4789;MILAN;IT;94.99;2025-10-04
PAYPAL *SPOTIFY*P3AE97;5815;07517591951;SE;37.83;2025-10-29
MOXY VIENNA CITY EAST;3509;WIEN;AT;67.24;2026-02-16
O17683077489895192 APP BR;9311;TORINO;IT;148.22;2025-10-22
ZEMAN MASO UZENINY 05;5422;MNISEK P.BRDY;CZ;81.29;2026-01-10
HORNBACH784TIMISOA C17;5039;TIMISOARA;RO;150.77;2025-10-03
FOODORA_AT_XJ66-ZM0J;5499;WIEN;AT;147.31;2026-01-04
SKYSHOWTIME 9380B SHOWTIM;4899;AMSTERDAM;NL;197.71;2025-11-06
NFCTRON;5812;PRAHA 1 NOVE;CZ;145.17;2025-12-03
MTA*NYCT PAYGO;4111;NEW YORK;US;5.86;2025-11-27
CHICK FIL A;5814;PITTSBURGH;US;80.84;2025-10-21
FOODORA_AT_XBSZ-Y1PU;5499;WIEN;AT;125.92;2025-10-23
ALDI 97026 RECEIPT NO.;5411;ATHERSTONE;GB;61.18;2025-10-07
APPLE STORE R667 R667;5732;MILAN;IT;22.4;2025-09-28
MS* WALDSTTTERHOFLUZE;7011;LUZERN;CH;45.99;2025-10-31
CLR*VALE OF LEVEN GOL;7992;ALEXANDRIA;GB;88.29;2026-02-20
ATLANTIS THE PALM,DUBA;7011;DUBAI;AE;128.56;2026-03-19
32RED;7995;2664699320;GB;53.57;2025-10-22
HYPEDROP;7994;#6429254;CY;82.52;2025-11-10
TRADER JOE S #282;5411;PHOENIX;US;191.26;2025-10-29
RTL INTERACTIVE GMBH;7399;HBBDG-XHDNY R;DE;117.84;2025-12-24
FOODORA_AT_VARE-6O7H;5499;WIEN;AT;116.28;2026-03-11
SKYSHOWTIME 64C14 SHOWTIM;4899;AMSTERDAM;NL;83.08;2025-11-13
GOPAY *REENIO.CZ;7298;HTTPS://CENTR;CZ;101.48;2026-02-15
PP*BOLT.EU/R/2506121414;4789;35314369001;EE;154.51;2026-02-04
MCDONALDS 549   2402927;5814;PARIS0000549/;FR;56.19;2026-01-28
NYX*FRESHCOFFEEGOLTD;5814;MILTONKEYNES;GB;73.09;2026-03-03
LIDL 295  TT MIKOVINIH;5411;TRNAVA;SK;155.56;2026-01-30
RTL INTERACTIVE GMBH;7399;NPXTM-LWRFK R;DE;12.53;2025-11-13
FOODORA_AT_XX54-2536-U;5499;WIEN;AT;189.6;2026-02-26
PREMIUM PEKAREN;5462;PEZINOK;SK;24.43;2026-01-03
TESCO STORES 2972;5411;SLOUGH;GB;96.81;2026-03-02
CESKA POSTA  11000;9402;PRAHA;CZ;34.28;2025-09-29
GOPAY  *AZMOBIL.CZ;5732;AZMOBIL.CZ;CZ;19.96;2025-11-10
ROSSMANN 68;5977;WARSZAWA;PL;158.95;2025-11-08
RAITAR SRL;5999;SUCEAVA;RO;11.9;2026-01-30
GOPAY  *JUSTPEARLS.SK;5977;HTTPS://JUSTP;SK;179.81;2025-12-24
LIME*POCET JIZD 3 PSQL;7519;CZECH REPUBLI;CZ;127.45;2026-01-18
SHELL 1259;5541;WORMS;DE;27.89;2025-11-01
UBER;4121;HELP.UBER.COM;NL;53.66;2025-10-02
TESCO NOVE ZAMKY DOT.;5411;NOVE ZAMKY;SK;17.21;2025-12-25
GOPAY  *POTTENPANNEN.C;5719;PRAHA 4;CZ;154.9;2025-10-26
MACYS HERALD SQUARE;5311;NEW YORK;US;161.72;2025-10-16
ASDA SEDGLEY;5411;DUDLEY;GB;187.89;2026-02-21
DCE9C HAYU MON;4899;DUBLIN 4;IE;112.53;2025-10-04
5 TESO';5812;DOMBOVAR;HU;124.18;2026-02-28
HEROKU* MAY-95589677;5734;SAN FRANCISCO;US;13.01;2026-01-09
SUMUP  *VIZI BULI KFT;7999;BALATONFURED;HU;195.04;2026-03-12
FORTRANS DETROIT SRL;5211;DITRAU;RO;63.88;2026-01-28
NYX*ASOVENDINGSRO;5499;BANSKABYSTRIC;SK;48.59;2025-10-26
APARCAM  SAN AGUSTIN T;7523;VALENCIA;ES;41.68;2026-03-22
SKYSHOWTIME 8390D STAN;4899;AMSTERDAM;NL;185.1;2026-03-15
THE ALBION;5813;LONDON  N1 1;GB;12.42;2026-01-25
NYA*ZOELLS.DE GMBH;5499;NUERNBERG;DE;141.74;2025-11-23
PAYPAL *AIRBNB HM9MYD4HJ;7011;35314369001;LU;121.84;2026-01-22
GUMROAD* THAIGA NOTION;5192;GUMROAD.COM;US;92.0;2025-11-17
TIMES BEACH WARUNG;5812;BADUNG;ID;33.66;2026-02-22
ALDI SUED;5411;GLASHUETTEN;DE;8.88;2025-12-22
PARADIGMANOVAOPTICSRL;8043;SUCEAVA;RO;172.23;2025-11-13
ACS*87029281 ORTEL;4814;ROTTERDAM;NL;29.24;2026-03-23
AMPIDO GMBH;7523;COLOGNE;DE;8.57;2026-02-02
KFC 604;5814;SAARBRUECKEN;DE;94.74;2025-12-26
TCL 69 LYO;4111;V25346020343�;FR;179.14;2025-10-09
ZO FESTIVAL AG;5814;ZURICH     ZH;CH;111.99;2025-10-15
TOTAL NB000910 BARCHON;5542;BARCHON;BE;103.74;2026-01-18
TCL 69 LYO;4111;V25152000458�;FR;194.53;2026-01-31
GOPAY  *TALLGUYS.CZ;5651;HTTPS://TALLG;CZ;28.83;2026-03-12
FARMACIA MORELLI S.R.L.;5912;BASELGA DI PI;IT;62.53;2026-02-16
GOPAY  *REENIO.CZ;7941;ORLOVA;CZ;45.01;2026-03-11
DELIJN##HASH##;4111;DL LEO9X4ZA;BE;37.46;2026-03-17
AUTOBUSY *ZDAR9K1904;4111;ZDAR N/SAZ.;CZ;179.82;2026-03-17
GOOGLE TINDER;7829;BARANGAROO;AU;146.59;2026-01-21
WOW D2C05 PREMIUM;4899;UNTERFOEHRING;DE;187.48;2026-01-13
QUICK 783 WEMMEL;5814;WEMMEL;BE;68.75;2026-02-22
PAYPAL * AIRBNB HMRYTH38Y;7011;4029357733;LU;92.03;2026-03-09
