merchant_description;mcc;city;country
KINGUIN ORDER ID: ZK0Q;5818;WARSZAWA;PL
TOOGOODT 4VT1C7601T970;5812;COPENHAGEN;DK
TV NOVA 8905157079;4899;PRAHA 5;CZ
FOODORA_AT_O6JR-2534-X;5499;WIEN;AT
VB MUENSTERLAND NORD;6011;SDH RECHTS;DE
PICCOLA ITALIA;5812;WARSZAWA;PL
RED CARPET EVENT;5812;WIEN;AT
ZASILKOVNA S.R.O. 2335;4215;PRAHA;CZ
PAYPAL * AIRBNB HMBT255TN;7011;35314369001;LU
GRAPE FESTIVAL;5812;TRENCIN;SK
AMAZON UK* Z360I2QT4;5399;LONDON;GB
AB VASILOPOULOS S.A.;5411;NAXOS;GR
JIZDNE;4111;KROMERIZ;CZ
TOBACCO LOGISTIC   MAR;5993;R TARGU JIU;RO
TST*MAGNOLIA BAKERY -;5812;NEW YORK;US
EXTRA HAUSMANNSGATE;5411;OSLO          NOR;NO
KALAKIKOS PETROS;5994;SAMOTHRAKI;GR
NLOV##HASH##;4111;WWW.OVPAY.NL;NL
BILLA SPOL S RO 245;5411;PARTIZANSKE;SK
ANGE;5462;VARENNES-SUR-;FR
FOODORA_AT_GQ1V-41DB;5499;WIEN;AT
SP EDYISA;5699;EDYISA.COM;US
SANTA CANELA S L;5812;MADRID;ES
GEBRUDER WEISS KOZP;4215;DUNAHARASZTI;HU
XERO CA;5734;VANCOUVER;CA
SPIELBERG EVENT;7941;SPIELBERG;AT
OQA9X1EEGYTH#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
TFL TRAVEL CHARGE;4111;TFL.GOV.UK/;GB
ORDENES  -SANTIAGO  15:48;4784;A CORU#A;ES
MIGROS MM BELLINZONA;5411;BELLINZONA;CH
CODE N GO - BVS;8911;NANTERRE;FR
NOW 046F3 SKY CINE;5815;LONDON;GB
CABANAS  -MI|O      12:33;4784;A CORU#A;ES
GAP WESTERN UNION NL;4829;DELFT;NL
RESTAURANT MASSEN - GA;5411;WÄISSWAMPECH;LU
RTL INTERACTIVE GMBH;7399;SXZBR-CRDLG R;DE
CHEVRON 0372030;5541;VACAVILLE;US
HYPEDROP;7994;6317241;CY
GOPAY  *SUPER-GRANULE.CZ;5995;PRAHA;CZ
BUDAVA'RISIKLO'ALSO';4131;BUDAPEST;HU
LIME*VYROVNANI 774X;7519;CZECH REPUBLI;CZ
CONSERVAS LATORRE;5812;BARCELONA;ES
MERKURIY-99 OOD;5411;SVETI VLAS;BG
FOODORA_AT_L6LD-2524-EN4R;5499;WIEN;AT
NYX*SHELLGRALLAWESTBA;5499;GRALLA;AT
SCHOKOLADENMANUFAKTUR;7922;RIEGERSBURG;AT
TOOGOODT 7D50A0ESZ5GF0;5812;TOOGOODTOGO.C;DK
NUTS N SALADS;5812;1060;BE
AVAST *AVAP1646750155;5817;DUBLIN;IE
LIDL SAGT DANKE;5411;KOBLENZ;DE
O17589618339351715 APP BR;9311;TORINO;IT
ZAHRADKARSKE POTREBY N;5261;NITRA;SK
GOPAY  *REMOSKA.SK;5719;FRENSTAT POD;CZ
SPAR MAGYARORSZAG KFT;5411;GYOR;HU
GROOVE BAR;5813;PRAHA 1;CZ
RESTAURANT NOOHN;5812;BASEL;CH
MOONPAY*STAKE 2560;6051;DUBILN;IE
ERNESTO PIZZERIA;5812;ZALAEGERSZEG;HU
WWW.JUNGHANSWOLLE.CH;5947;ST. GALLEN;CH
DELIJN##HASH##;4111;DL 1R2GTCBP;BE
PROTV 8206625237;4899;BUCHAREST;RO
LOTTO'ZO';7995;NADUDVAR;HU
HAPPYTIGER;7995;ID:2634797612;DK
KUK GASTRO GMBH;5812;BAD ISCHL;AT
ZEMAN MASO UZENINY;5422;TYN N.VLTAVOU;CZ
WOW CE4A5 CINEMA M;4899;UNTERFOEHRING;DE
FOODORA_AT_U0FS-2525-R;5499;WIEN;AT
O17593879792448718 APP BR;9311;TORINO;IT
UBER*CHAO FAN JIANG BE;5812;NEW TAIPEI CI;TW
MVDR. MICHAL SINDELAR;742;MRAC;CZ
TV NOVA 0759839209;4899;PRAHA 5;CZ
AMAZON UK* ZR3DX3RW4;5399;LONDON;GB
?HILLSTOCK-1D4E2B7D-1174-;5815;37256976720;EE
HOTEL ST. OSWALD;7011;BAD KLEINKIRC;AT
MOONPAYUNISWAP 5551;6051;MOONPAY.COM;IE
TELEKOMSZAML*##HASH##;4814;BUDAPEST;HU
FARMACIA DEL BORGO;5912;FINALE LIGURE;IT
AVM RTITUZYM58YOINB;4111;VENEZIA;IT
AUTOMAT SPEC SP ZOO SK;5812;LISZKI;PL
BRODERICK VEND;5499;MANCHESTER;GB
32RED;7995;2652249091;GB
LOWES #02651*;5200;WINTER GARDEN;US
TCL 69 LYO;4111;V25246027387�;FR
ACS*24752575 THREE;4814;PLEASEHELP.IO;NL
MESON EL HUERTANO;5812;TORREVIEJA;ES
BLUEBALANCE.HU;8043;DOMSOD;HU
GOOGLE SERVICES;5818;LONDON;GB
JYSK SE;5712;SCHWERTE;DE
NYX*SUPERCUPSVENDINGLT;5814;CHATHAM;GB
LA GRIFFE HOTEL;7011;ROMA;IT
BILLA DANKT 0003715;5411;WR. NEUDORF;AT
DB AUTOMATEN;4112;MAINZ;DE
TV NOVA 2891697867;4899;PRAHA 5;CZ
TCL 69 LYO;4111;V25104010882�;FR
WWW.LYNKCO.COM;7512;318003735500;NL
ACS*95227138 ORTEL;4814;ROTTERDAM;NL
MALOM UTALVA'NY E'RT.I;5947;KECSKEMET;HU
SHELL 2217;5541;BALINGEN;DE
AMAZON UK* ZE4PA5Y14;5399;LONDON;GB
BALOGH ZSIGMOND ISTVAN;8111;BUDAPEST;HU
MOONPAY*STAKE 3469;7995;MOONPAY.COM;IE
MEDZ BAR;5812;CRAWLEY;GB
6051.9124.3089 AIB_ECO;7995;VALETTA;MT
WILLHABEN 1626979100;5331;VIENNA;AT
PUB VILLA VELHA;5813;LENCOIS PAULI;BR
WE-MOBILE-PRE;4816;GIZA;EG
ALBERT HEIJN 8636;5411;AMSTERDAM;NL
PENDICULARAS SCUOL SA;4789;SCUOL;CH
MCDONALD'S GELDROP;5814;GELDROP;NL
SEEHOTEL SCHIFF;7011;MANNENBACH-SA;CH
LEKAREN U LEVA;5912;LEVOCA;SK
NYX*INDPRODCOM;5814;SATUNOUDEJO;RO
LIME*RIDE 7WWU;7519;CZECH REPUBLI;CZ
LIDL 359 LEIDEN;5411;LEIDEN;NL
INDPRODCOM SRL;5499;SANTANDREI;RO
GOPAY  *TAHOUN.CZ;5941;TAHOUN.CZ;CZ
NYX*AVANTAGESCAFE;5814;PARIS;FR
A&O HOTELS AND HOSTELS;7011;BERLIN;DE
DELIJN##HASH##;4111;DL HN6TAC68;BE
BCK*JUMBO MAASSLUIS;5411;MAASSLUIS;NL
BAECKEREI & KONDITOREI;5462;OSTFILDERN;DE
OTP;4814;DUNAKESZI;HU
A CORU|A -CABANAS   11:56;4784;A CORU#A;ES
LIME*UT HTLU;4789;FRANKFURT;DE
TOOGOODT ZHW8K4XR8WNQ0;5812;TOOGOODTOGO.C;DK
ACS*22330347 THREE;4814;PLEASEHELP.IO;NL
RENFE CERCANIAS TNA 28 4;4012;MADRID;ES
GOPAY  *MARMELADYSPRIBEHE;5499;PRAHA 5 - HLU;CZ
PAYPAL *AIRBNB HMW4Y4;7011;35314369001;GB
O17532591165512286 APP BR;9311;TORINO;IT
BURGER KING 14190 SOT;5814;BERLIN;DE
PAYPAL *AIRBNB  HMWTHPZT2;7011;35314369001;LU
RTL INTERACTIVE GMBH;7399;MXPDX-XKLGP R;DE
MONZO * ME ANTONY BURTO;6012;LONDON;GB
NEURONAU* TEMPHOLD-JPA;4789;HAWTHORN;AU
REVELARTA.RO;5691;MEDIAS;RO
AMAZON UK* ZC0R38VJ4;5399;LONDON;GB
FELIPE MARQUES RAMOS;4121;BELO HORIZONT;BR
INTENSO;5812;GENEVE;CH
AMAZON UK* Q21BC2BY5;5399;LONDON;GB
AKANTHUS;5813;ATHINA;GR
PAYPAL *WOW X1973 PREMIUM;4899;35314369001;DE
RHEIN NECKAR VERKEHR G;4111;MANNHEIM;DE
ACS*21039037 THREE;4814;0107989541;NL
JOECOFFEE-HURRICANE CO;5814;120-65352443;US
PAYPAL *SMARTONEAPP;8999;35314369001;GB
ADOBE SYSTEMS SOFTWARE;5734;DUBLIN;IE
GOPAY  *IMODA.SK;5699;SOBRANCE;SK
XSOLLA*PARTYINMYDO;5816;LIMASSOL;CY
MCDONALD'S SONTPLEIN;5814;GRONINGEN;NL
WIENER L 20260129018718;4111;WIEN;AT
DECATHLON DEUTSCHLAND;5941;ULM;DE
PAYPAL * EBAY DE;5311;754327588;LU
BEAUTY NINETY6;7230;35318747800;IE
AVAST *ADAP1577085743;5817;PRAGUE 4;CZ
ICE INVEST SPOL. S.R.O;5814;HRADCANY;CZ
O17646782173752272 APP BR;9311;TORINO;IT
GOPAY  *POLAGRAPH.CZ;5732;PRAHA;CZ
WEEKDAY.COM;5651;HAMBURG;DE
HEINEMANN DUTY FREE/FI;5309;FRANKFURT AM;DE
PAYPAL *ITABUS SPA;4131;35314369001;IT
LIME*RIDE TGFA;4789;AMSTERDAM;NL
O17497970615632308 APP BR;9311;TORINO;IT
MANOR AG;5311;VEZIA      TI;CH
PP*BOLT.EU O 2412171415;4789;35314369001;EE
GALERIA KAUFHOF HEIDEL;5311;L HEIDELBERG;DE
STOKROTKA NR 0606;5411;TOMASZOW LUBE;PL
LIME*RIDE 5N7B;4789;302111983348;GR
AVAST *ADAP2116506590;5817;PRAGUE 4;CZ
TAVIO EXPRESS FOOD & WINE;5411;LONDON;GB
HAPPYTIGER;7995;ID:2807976738;DK
FOODORA_AT_INJA-2505-6;5499;WIEN;AT
BOLT.EU/R/2505091516;7512;TALLINN;EE
ARAL STATION 191231141;5541;KORNTAL-MUENC;DE
FOODORA_AT_GHB2-2519-P;5499;WIEN;AT
AMAZON UK* ZG7QY5WD4;5399;LONDON;GB
WWW.AMAZON.* KQ0LT3DG5;5399;LUXEMBOURG;LU
EL CORTE INGLES DEPART;5311;MADRID;ES
GOPAY  *TICKETLIVE.SK;7922;ZVOLEN;SK
BILLA CS. ARMADY 906;5411;TRUTNOV;CZ
NOW 74EDF GB ULTRA;5815;LONDON;GB
INPICS*135606241;5815;SANDANSKI;BG
BANDCAMPCLASSICALMINU;5735;BANDCAMPCOM;US
TV NOVA 4076436341;4899;PRAHA 5;CZ
JETSTARMRKFGE;3079;COLLINGWOOD;AU
AMAZON UK* QA13A30I5;5399;LONDON;GB
MAAS 24;5499;SON;NL
ACTION 7099;5310;MUERZZUSCHLAG;AT
LIME*RIDE KGN2;4789;MILAN;IT
AMAZON UK* 8293J3HH5;5399;LONDON;GB
AUTOGRILL 0018;5812;OSIO SOPRA;IT
GATE A S;5691;CADCA;SK
075EA BOOST;5815;DUBLIN 4;IE
AMAZON UK* CO43M6II5;5399;LONDON;GB
AMAZON UK* 4N5S82V95;5399;LONDON;GB
TOOGOODT EM9TQ0NRS9FH0;5812;COPENHAGEN;DK
TOM AND LELLO B33EDRNP;5813;STAVANGER;NO
FESTE_VERKAEUFER_GASTR;7922;LEIPZIG;DE
7C92B ENTS;5815;DUBLIN 4;IE
COLLCTIV GIORGIA SVALD;7399;MANCHESTER;GB
X7723 SKY SPOR;4899;DUBLIN 4;IE
LIME*PASS JHBV;4789;MILAN;IT
HEROKU* JAN-92017921;5734;SAN FRANCISCO;US
UNIVERSITÄT;8220;WIEN W;AT
LECHERTSHUBER & WIMMER;5411;KIRCHDORF;DE
BANANAREPUBLIC US 6768;5691;PRINCETON;US
BOLT.EUD2508311549;5812;TALLINN;EE
ZAGREBACKI HOLDING D.O;7523;ZAGREB;HR
DB VERTRIEB GMBH;4112;521950671629;DE
CARS TAXI SERVICES CO;4111;DUBAI;AE
NYX*COCACOLAHBCMAGYARO;5814;SZIRMABESENYO;HU
BOLT.EUD2509020957;5812;TALLINN;EE
O17537896154447852 APP BR;9311;TORINO;IT
TRADEIT.GG - 1VLB;7993;SAN FRANCISCO;US
O17661581227501842 APP BR;9311;TORINO;IT
RESTAURANT MADRISA HOF;5812;KLOSTERS DORF;CH
LIME*2 RIDES Y7YX;4789;WIEN;AT
ZIN FUX RESTAURANT;5812;SEXTEN;IT
MASIARSTVO TORMAS;5422;PRIEVIDZA;SK
FOODORA_AT_JC5W-C157;5499;WIEN;AT
MOL 17100 SZ. TOLTOALL;5541;ERD;HU
JETAPP;4829;KECSKEMET;GB
TV NOVA 3221177511;4899;PRAHA 5;CZ
EXARING AG;7399;MNTYJ-DDNHY W;DE
SKYSHOWTIME D1401 STAN;4899;AMSTERDAM;NL
LOCATION-TOOL.COM IRW3;5734;LOCATION-TOOL;US
HEROKU* OCT-88789252;5734;WWW.HEROKU.CO;US
STEFANOS L. VOLIANITIS;5812;PEIRAIAS;GR
NOVI AJANDEK KFT;5945;GYOMRO;HU
C718C SKY SPOR;4899;DUBLIN 4;IE
SPILNU.DK;7995;ZHWN2YXGW449;DK
MARKS&SPENCER PLC SF;5411;PENHALE;GB
BOLT.EUR2503290937;5812;TALLINN;EE
AGIP SERVICE-STATION;5542;STUTTGART;DE
MCDONALDS 8260102;5814;READING;GB
TOOGOODT T4FZEF4CZFKF0;5812;TOOGOODTOGO.N;DK
BARASSIE STORES;5411;TROON;GB
FOODORA_AT_RB1B-PSNU;5499;WIEN;AT
AXS TICKETS BIRMINGHAM;7922;LONDON;GB
BAKKERIJ WESTERBOS BV;763;AMSTERDAM;NL
PAYPAL *DHL OL;7399;35314369001;DE
FOODORA_AT_ACEG-2508-H;5499;WIEN;AT
EXPRESS DEL CARRIL 321;5411;CAP.FEDERAL;AR
TETA DROGERIA;5912;BANSKA STIAVN;SV
HM DK0811;5651;KOEBENHAVN;DK
MC DONALDS IMPERIAL;5812;PORTO;PT
HAPPYTIGER;7995;ID:2667536472;DK
WIZZ AIR HU E84D5C_18194;3301;HTTP://WIZZAI;HU
TCL 69 LYO;4111;V25252031573�;FR
NOW 6CB6E SKY SPOR;5815;LONDON;GB
AMAZON UK* 1I0A73J45;5399;LONDON;GB
GOPAY  *FERMATSHOP.SK;5251;HTTPS://FERMA;SK
REVIER SUEDOST;5812;BERLIN;DE
TABACCHERIA DI YILI CA;5993;ARGELATO;IT
RZYM6GBQF3LS#TISSEO.FR;4111;TOULOUSE CEDE;FR
MACENDA (-A CORU|A  22:45;4784;A CORU#A;ES
WM SUPERCENTER #3355;5411;LAS VEGAS;US
ANDREADOU ATH;5399;KAVALA;GR
ACS*21491517 THREE;4814;ROTTERDAM;NL
LUSTY BEG;5812;ENNISKILLEN;GB
32ROSU;7995;2613933907;MT
RIOCA VIENNA POSTO 1 JACM;7011;WIEN;AT
BANXA CHANGELLY 148892;6051;WWW.BITCOIN.C;NL
AMAZON UK* 5H23S28M5;5399;LONDON;GB
FOODORA_AT_OQFL-2504-I;5499;WIEN;AT
FOODORA_AT_U5ES-2528-E;5499;WIEN;AT
6A2C8 SKY SPOR;4899;DUBLIN 4;IE
HEROKU* OCT-99022559;5734;SAN FRANCISCO;US
PERRUCHE;5813;PARIS;FR
SALT N PEPPER - CORVIN;5814;BUDAPEST;HU
LIME*RIDE YWOK;7519;CZECH REPUBLI;CZ
WWW.ZATU.CO.UK;5945;01603801206;GB
DELIJN##HASH##;4111;DL HN0QPRW7;BE
LE PHARO;5542;PERON;FR
O17659674403062206 APP BR;9311;TORINO;IT
WWW.AMAZON* 404-988127;5399;LUXEMBOURG;LU
MARRIOTT 33789 NY MARQ;3509;866-435-7627;US
LIME*BESTANDEN MEJK;4789;STOCKHOLM;SE
HOTEL BAHIA DEL SOL;7011;SANTA PONSA;ES
TV NOVA 5435105435;4899;PRAHA 5;CZ
LIME*RIDE 63R3;4789;ATHENS;GR
SQSP* WEBSIT#208501584;7372;NEW YORK;US
AEROMEXICO;3076;CIUDAD DE MEX;MX
PROTV 1255083948;4899;BUCHAREST;RO
JMP S.A. BIEDRONKA 639;5411;SUWALKI;PL
PENNY MALESICKA 2799;5411;PRAHA - ZIZ;CZ
TV NOVA 3052353721;4899;PRAHA 5;CZ
GOPAY  *BABYMALL.CZ;5399;OSTRAVA;CZ
88791679 ZINZINO;5499;VAESTRA FROEL;SE
LIME*PASS HXWG;4789;HELLERUP;DK
CUORE DI PUGLIA;5812;CANCELADA (ES;ES
LIME*RIDE 4N46;7519;CZECH REPUBLI;CZ
GOPAY  *METALSHOP.SK;5699;BYSTRICE;CZ
EILEEN'S SPECIAL CHEES;5814;NEW YORK;US
BANDCAMPFPERECORDS;5735;4152132160;US
AVG *AGAP1614998816;5817;PRAGUE 4;CZ
LIME*PRZEJAZD RU7Y;4789;WARSZAWA;PL
GOPAY  *BRASTY.CZ;5977;BRASTY.CZ;CZ
LIME*FAHRT KHZQ;4789;WIEN;AT
DB VERTRIEB GMBH;4112;495001615238;DE
SPILNU;7995;ID:2844795109;DK
ZABKA Z6691 K.1;5499;GDANSK;PL
GOPAY  *DRVET.CZ;5499;DRVET.CZ;CZ
FOODORA_AT_XAF6-2521-H;5499;WIEN;AT
BERGBAHNEN FIEBERBR;7999;FIEBERBRUNN;AT
TCL 69 LYO;4111;V25290022180�;FR
ESPRESSO LAB;5814;AMMAN;JO
LIME*RIDE XIPM;4789;41445051724;CH
WWW.DUTCHGROWN.EU;5193;NICOSIA;CY
ETSY.COM*CNCHOLZWERKST;5699;DUBLIN 1;IE
HALBESTADT BAR;5812;WIEN;AT
RTL INTERACTIVE GMBH;7399;JKGTF-HKZZW R;DE
DELIJN##HASH##;4111;DL 4U1MCVYN;BE
FUS ASIA RESTAURANT;5812;LIESTAL;CH
AMAZON UK* JW8J46VZ5;5399;LONDON;GB
FOODORA_AT_OWWH-2424-N;5499;WIEN;AT
DZBT DEPORTES SAU;7995;35611111111;ES
AMAZON UK* Z578G3X64;5399;LONDON;GB
GOPAY  *NASYPANEJ.CZ;5499;BRNO;CZ
HYLAIXCI6XEX;4111;TOULOUSE CEDE;FR
RAMEN SHIFU TOLEDO;5812;MADRID;ES
SCHWEIZER PARAPLEGIKER-ZE;8062;NOTTWIL;CH
WIZZ AIRTFM4YV;3301;BUDAPEST;HU
LIDL RO-314;5411;CAREI;RO
SPP WARSZAWA 2;7523;WARSZAWA;PL
O17510302278876779 APP BR;9311;TORINO;IT
PAYPAL *AIRBNB HM8YJAN4Y;7011;4029357733;LU
GOPAY  *SANASPORT.SK;5499;HTTPS://SANAS;CZ
MARKS;5411;BLACKBURN;GB
9479950546;4899;BRATISLAVA;SK
KAUFLAND 5620, BN, SVA;5411;BANOVCE NAD B;SK
KIS FERENC ZOLDSEG GYU;5411;BUDAPEST;HU
KTEL N IMATHIAS S A;4131;NAOUSA;GR
AUCHAN BUDAORS;5311;BUDAORS;HU
5233190/IT030-89267995;5814;BOLZANO;IT
BK 29370 SOT;5814;ROSENHEIM;DE
LIDL;5411;LIM.CHERSONIS;GR
HUBSPOT GERMANY GMBH;7372;BERLIN;DE
BAMEE T1;5812;MUNCHEN-FLUGH;DE
SUGAR COATED GLASTHULE;7298;DUBLIN;IE
SHELL 7519;5541;BOCHUM;DE
KORHAZI PATIKA FELEGYH;5912;KISKUNFELEGYH;HU
VHRBIUUEW9IF#TISSEO.FR;4111;TOULOUSE CEDE;FR
LIBRO FIL.8193;5943;INNSBRUCK  T;AT
WOW FA4BC CINEMA M;4899;UNTERFOEHRING;DE
DUNNES IRISHTOWN;5411;DUBLIN;IE
TOOGOODT NWRVQQAZVR2T0;5812;TOOGOODTOGO.C;DK
TESCO DVUR KRALOVE NAD;5411;DVUR KRALOVE;CZ
DELIJN##HASH##;4111;DL 1NLD0G46;BE
PANERA BREAD #204756 O;5812;COLUMBUS;US
BILLA 0356;5411;WIEN;AT
ICONICA SEVILLA FEST;7922;SEVILLA;ES
INPICS*130149266;5816;SANDANSKI;BG
ALDI 32 774;5411;CHESTER-LE-;GB
BKBF1A43EA1566A24D;6051;SOFIA;BG
SHOTGUN* MAISON NOIRE;7922;PARIS;FR
HIROSHIMAEKIBIRU;5311;HIROSHIMA;JP
SPLICE.COM* VOCALSYNTH;5734;SPLICE.COM;US
PAYPAL *PACKLINK;4215;35314369001;LU
MCDONALDS 020;5814;KYIV;UA
1  SPAR MARKET PTO RIC;5411;TAURO (PLAYA;ES
CARREFOUR 0729;5411;CASALECCHIO D;IT
2025-756553 MONEYBIRD;5817;ENSCHEDE;NL
SKYSHOWTIME E251E SHTANDA;4899;AMSTERDAM;NL
POST OFFICE COUNTER;9402;LONDON;GB
SERVIER IRELAND INDUST;5812;ARKLOW;IE
LFC TICKETING ECOMM GB;7941;B LIVERPOOL;GB
NORTON *AP1591077659;5817;AMERSFOORT;NL
O17652978166913007 APP BR;9311;TORINO;IT
HILLSIDE STORES;5499;NORTHOP HALL;GB
AD PODUNAVLJE;5499;BACKA PALANKA;RS
VOYO.SK 5678833779;4899;BRATISLAVA;SK
GOPAY *LEVNICEK.CZ;5945;LEVNICEK.CZ;CZ
PAYBYPHONE-7SFQHZIRU9MZ 7;7523;BRIGHTON;GB
COFFEE TREE NEW IKE;5812;HRAKLEIO;GR
CINO BOLT . EU O;8999;HOES OF CB;EE
GOPAY *PIZZA-COOL.CZ;5811;PRAHA;CZ
SKYSHOWTIME 1E792 STANDAR;4899;AMSTERDAM;NL
UKVI 1380B986-490F- 461;9399;LONDON;GB
UBER*GE LI OU S SAN MING;5812;NEW TAIPEI CI;TW
32ROSU;7995;2603452008;MT
TOOGOODT CEQ4DAPR4QNV0;5812;TOOGOODTOGO.B;DK
PETRODOM PALIWA SP.K 01;5541;BIALA PODLASK;PL
RYANAIR     YZ7URY0;3246;DUBLIN;IE
GOPAY  *TOCOPOTREBUJES.SK;5200;HTTPS://TOCOP;SK
DELIJN##HASH##;4111;DL G72NIY5C;BE
MICROSOFT-G083231649;5045;MSBILL.INFO;CH
AUTOMATIC SERVIS D.O.O.;5499;LJUBLJANA;SI
SELECTA U.K. LIMITED;5499;SOUTH RUISLIP;GB
GOOGLE*GOOGLE REVENUE;7372;G.CO/HELPPAY;US
NYX*ASDA;5499;WIGAN;GB
LIME*RIDE FXRI;7519;BULGARIA;BG
ETSY.COM*HOLZSTILMS;5699;DUBLIN 1;IE
SQ *BREAD AHEAD LTD;5499;LONDON;GB
VIDA CREEK BEACH;6513;DUBAI;AE
WILD SPORTS;5941;KALYMNOS;GR
EP*STOP-ALERGII.RO;8071;BUCURESTI;RO
CURT STOLPER GMBH;5411;BAD SASSENDOR;DE
1A4AF ROI ULTR;4899;DUBLIN 4;IE
RESTAURANT TSCHUGGA;5812;PARPAN;CH
ENARTIA SINGLE MEMBER S;4816;IRAKLEIO;GR
7-ELEVEN 41577;5541;LEXINGTON PAR;US
DELIJN##HASH##;4111;DL LQVTRIKO;BE
TICKETLEAP ANTON TYMOS;7922;877-849-5327;US
4KG6FMMOO3GA#TISSEO.FR;4111;TOULOUSE CEDE;FR
REWE BEU OHG - PROVISO;5411;ZEVEN;DE
PROTV 3489465057;4899;BUCHAREST;RO
SEM MOBILITE�CUM;4111;KUO8DMGLC74Z�;FR
DINES* SILO BAR;5812;EDINBURGH;GB
AZALIS CRAIOVITA;5541;CRAIOVA;RO
LPM RESTAURANT & BAR;5812;LONDON;GB
1AJ2IKEZOSXX;4111;LORIENT;FR
BANDCAMPDUBFORPALEST;5815;BANDCAMPCOM;US
DEPO CHLUMEC;5499;CHLUMEC N./;CZ
SZOP24;5814;LODZ;PL
ZETTLE_*IJSSALON SMAAK;5812;DIEVER;NL
CESKE DRAHY;4112;NOVE MESTO (P;CZ
NYX*MARCHERESTAURANTSO;5499;SCHWECHAT;AT
COMPASS VENDING BURNAB;4111;BURNABY;CA
MCDONALDS;5814;STIRLING;GB
AMAZON UK* ZX33O8KX4;5399;LONDON;GB
LIONSPORT.SK;5655;PRAHA 1 - NOV;CZ
JAGER TRG. TRNOVSKA VA;5411;TRNOVSKA VAS;SI
MCDONALD S ROSMALEN;5814;ROSMALEN;NL
NOW 335FF BOOST;5815;LONDON;GB
DEYAR ALMADINA;7011;MADINA;SA
MOJELAHVE.CZ;5921;LUZICE U HODO;CZ
KAUFLAND ROMANIA SCS;5411;CRAIOVA-VALEA;RO
GOTTHARD RASTSTATTE A2;5812;SCHATTDORF;CH
X6450 SPORTS;4899;DUBLIN 4;IE
VAG VERKEHS- AKTIENGES;4111;NUERNBERG;DE
LAND BADEN-WUERTTEMBER;9399;OWI000576399/;DE
89DF2 SKY SPOR;4899;DUBLIN 4;IE
SKYSHOWTIME 21A9A SHTANDA;4899;AMSTERDAM;NL
SC-BOUL TEMIME;5462;LE BLANC MESN;FR
CF* CRUMBL HIXSON;5499;180-14101313;US
ART HOTEL MUSEO SRL;7011;PRATO;IT
TCL 69 LYO;4111;V25189030763�;FR
GRAB* A-5FG5TE6GWJW2;5812;SOUTH JAKARTA;ID
ORDER O-YSMSUJA;5816;VILNIUS;LT
PET CENTAR SPLIT DUJMO;5995;O SPLIT;HR
APOSTOLOPOULOS KON;5441;PATRA;GR
UBER * LE FU BING SHI;5812;NEW TAIPEI;TW
SVALBAR PUB AS;5813;LONGYEARBYEN;NO
LIME*PASS OINQ;4789;BUCHAREST;RO
CITY SIGHTSEEING BUDAP;4722;BUDAPEST;HU
WWW.AMAZON.* XL0G889I5;5399;LUXEMBOURG;LU
E.LECLERC;5331;FRANCONVILLE;FR
LIME*PASS PNB3;4789;46858097513;SE
FOODORA_AT_HUK1-UPJF;5499;WIEN;AT
TCL 69 LYO;4111;V25169019203�;FR
AMAZON UK* ZC1917TE4;5399;LONDON;GB
HRC36905ESSO1   2116790;5542;LESCHE036905/;FR
POST    CC-407694;5999;WIEN;AT
URBAN OUTFITTERS 2207;5311;ROTTERDAM;NL
ZASILKOVNA S.R.O.2120;4215;RIMOV;CZ
MAIRIE;9405;VICHY;FR
LIDL4300;5411;LA CHATAIGNER;FR
CRV*APPLECOMBILL ITUNE;5818;SAN GIUSEPPE;IE
WHOLEFDS GOC #10740 00001;5411;CHICAGO;US
HOSTAL LA RUA;7011;ESTELLA;ES
SKYSHOWTIME X4979 SHTANDA;4899;AMSTERDAM;NL
CHICKEN HUT;5812;BIRMINGHAM;GB
YVZBXK ZENMARKET;4215;OSAKA;JP
SPORTSDIRECT COM;5941;GRAZ;AT
FOODORA_AT_RPGM-2442-F;5499;WIEN;AT
NYA*MARKIES CATERING;5499;ALKMAAR;NL
TESCO PETROL FILLING STAT;5411;SUNBURY ON TH;GB
ASAS GASTRO - WEIHNACHTSM;5811;WIEN;AT
SUPERMERCADO LUTADOR;5411;VIANA CASTELO;PT
FOOD HALLEN ROTTERDAM;5812;ROTTERDAM;NL
DELIJN##HASH##;4111;DL PX7Z496J;BE
LK00KSARZ60W;4111;TOULOUSE CEDE;FR
TV NOVA 3457290251;4899;PRAHA 5;CZ
DIGIEXPERT.HR;5732;JESENICE - ZD;CZ
SC-SAISONNIERS;5411;PARIS;FR
ALHALWANJI SWEETS;5462;AMMAN;JO
AIRTRANSAT. EDN557;4511;QUEBEC;CA
9Z3FMM-QNTR ILSA WEB;4112;IRYO.EU/;ES
TESCO  PRIEVIDZA;5411;PRIEVIDZA;SK
FOODORA_AT_X2DB-2510-5;5499;WIEN;AT
LYDIA*CADEAU MAXIME;6012;FONDETTES;FR
GABI HAMI - ETELBAR;5812;HAJDUSZOBOSZL;HU
FOODORA_AT_K4F1-2537-FFD3;5499;WIEN;AT
0CED5 SKY SPOR;4899;DUBLIN 4;IE
NYX*FRESHKAVASRO;5499;PRAHALIBEN;CZ
MAYA-MIRUNA SRL;5814;BACAU;RO
VALRHONA;5441;TAIN L'HERMIT;FR
LIDL 360 ROTTERDAM;5411;ROTTERDAM;NL
