merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
STM MT ROYAL DIN101,stm royal,4131,MONTREAL,CA,186.62,11/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,,no
DEICHMANN BUCURESTI 019,deichmann bucuresti,5661,BUCURESTI,RO,77.29,31/12/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Shoe Stores,0.95,rule_based,mcc_rule,no
LIME*RIDE TZEB,lime ride tzeb,4789,BUCHAREST,RO,178.65,2/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DELTA AIR   0062258576,delta air,3058,64BUDAPEST,HU,33.53,1/1/2026,travel & airlines,Airlines,airlines,Individual airline merchant codes,Delta Airlines,0.95,rule_based,mcc_rule,no
4941822588,,4215,BRATISLAVA,SK,178.89,9/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,,no
FOODORA_AT_YEO2-2541-S,foodora,5499,WIEN,AT,160.77,8/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
O17430044931052301 APP BR,,9311,TORINO,IT,189.66,20/2/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25085007000�,FR,9.17,12/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
PATH  BEAUGRENEL,path beaugrenel,7832,PARIS,FR,22.03,10/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule,no
ACS*23547661 THREE,acs three,4814,ROTTERDAM,NL,8.72,20/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
SENNEREI LINGENAU REG. GE,sennerei lingenau reg,5499,LINGENAU,AT,88.09,11/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
LIME*FAHRT HXBJ,lime fahrt hxbj,4789,WIEN,AT,174.15,31/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
TOOGOODT KDBPHDW1NBQ20,toogoodt,5812,COPENHAGEN,DK,34.77,11/3/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
AIRPAY 27280057-CABS 6,airpay cabs,4121,WAKEFIELD,GB,18.58,29/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL SC4VTHAR,BE,52.8,24/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CVS/PHARMACY #09320,cvs pharmacy,5912,MONTEREY,US,187.95,6/11/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
EXARING AG,exaring,7399,XDDCZ-PZDLH W,DE,174.4,22/3/2026,professional services,,business services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,,yes
SLEVEN FOR FOOD SUPPLI,sleven for food suppli,5411,ABDOUN,JO,6.81,2/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*PASS D72N,lime pass,4789,ATHENS,GR,94.09,17/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
AGODA.COM*AGODA.COM LE JU,agoda,4722,LONDON,GB,138.96,25/9/2025,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
FOODORA_AT_VT5Y-O3BL,foodora,5499,WIEN,AT,23.47,26/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
PAYPAL *GEDIDIGITAL,paypal gedidigital,5815,35314369001,IT,41.03,28/9/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
BADOG MAGUS KFT.,badog magus kft,5200,VESZPREM,HU,165.03,25/10/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,,no
KVAZAR SHPK,kvazar shpk,5691,TIRANE,AL,29.95,12/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
OSKARSHAUSENGMBH,oskarshausengmbh,7999,FREITAL,DE,81.08,27/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
JKP NAPLATA PREVOZNE U,jkp naplata prevozne,4131,BEOGRAD PALIL,RS,30.59,6/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,,no
FOODORA_AT_NN4S-OQAY,foodora oqay,5499,WIEN,AT,94.26,4/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
K2,,8062,BASEL UNIVERS,CH,131.84,13/11/2025,health & pharmacy,Medical and health services,healthcare,"Doctors, dentists, hospitals",Hospitals,0.95,rule_based,mcc_rule,no
CARTPANDA* ENDUROXP254,cartpanda,7278,WILMINGTON,US,18.82,28/9/2025,,,personal services,"Hotels, laundry, beauty services, personal care",,0.0,rule_based,,no
FURULYAISKOLA,furulyaiskola,5815,3670428619,HU,81.65,20/10/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
ROBSWRITING.COM,robswriting,7392,40372713635,RO,89.11,23/3/2026,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
FOODORA_AT_UTYG-2531-8,foodora utyg,5499,WIEN,AT,31.15,16/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
41C05 SPORTS E,sports,4899,DUBLIN 4,IE,140.4,20/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_EVCL-2538-3,foodora evcl,5499,WIEN,AT,80.85,15/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
SAUDI BROAST,saudi broast,5812,FUJAIRAH,AE,9.91,5/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SAFEWAY LIQUOR #8981,safeway liquor,5921,CANMORE,CA,95.59,11/2/2026,bars & alcohol,Liquor stores,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL XN7S77A9,BE,41.21,6/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
PV 1101 - GOLDENGAS SP,goldengas,5541,ANCONA,IT,161.01,21/11/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
SUPER 24 EL PAREDON SIP,super paredon sip,5411,ESCUINTLA,GT,195.92,11/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
HAWKSMOOR,hawksmoor,5812,MANCHESTER,GB,187.47,27/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
"OTTO'S AG 72, WETZIKO",otto wetziko,5311,AATHAL-SEEGR,CH,18.1,28/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
LIME*2 RIDES 42OS,lime rides,4789,MILAN,IT,84.14,15/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
WM SUPERCENTER #3127,supercenter,5411,DENVER,US,180.11,7/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
GOPAY  *PRAHALODE.CZ,gopay prahalode,7929,PRAHALODE.CZ,CZ,30.6,23/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Bands / Orchestras,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 4B7DF STAN,skyshowtime stan,4899,AMSTERDAM,NL,190.25,9/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
VOUCHER EXPRESS,voucher express,7399,RIPON,GB,60.08,4/11/2025,,,business services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,,no
CRV*BOLTEUO##HASH##,crv bolteuo hash,4121,NEA SMYRNI,IE,138.9,2/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
LA METROPOLE MOB,metropole mob,4111,W7TKYV79URKC�,FR,190.49,18/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIME*AUTH W45W,lime auth,4789,48322247122,PL,191.41,19/12/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
B90AD SPORTS,sports,5815,DUBLIN 4,IE,80.75,24/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
JR EAST SHOPPING CENTER,east shopping center,5399,SIBUYAKU,JP,9.29,28/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
ANDERSON CAETANO DOS S,anderson caetano dos,4121,SERTAOZINHO,BR,195.68,13/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
ZASLAT.CZ,zaslat,4215,PRAHA 2 - VIN,CZ,116.76,1/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,,no
HEMA REMKUM,hema remkum,5311,RENKUM,NL,18.7,7/1/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
AMAZON UK* 9V43R84K5,amazon,5399,LONDON,GB,95.01,16/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
BUDGET GREETING CARDS,budget greeting cards,5947,DUNSTABLE,GB,96.34,5/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,,no
MERCADONA VIDRERES,mercadona vidreres,5411,VIDRERES,ES,21.9,23/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
RESORT LA MAGNOLIA DI,resort magnolia,7011,ANZIO,IT,43.51,21/12/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
NOW X7776 GB ULTRA,now ultra,5815,LONDON,GB,149.59,12/11/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
SQSP* WEBSIT#203128374,sqsp websit,7372,NEW YORK,US,73.94,31/1/2026,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
DOUGLAS 70,douglas,5977,DORNBIRN,AT,22.59,19/3/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
GALERIES LAFAYETTE GPGL99,galeries lafayette,5309,PARIS,FR,156.63,7/2/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
NLOV##HASH##,nlov hash,4111,WWW.OVPAY.NL,NL,162.89,11/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
AAU CHRUDIM,aau chrudim,4111,CHRUDIM,CZ,89.03,28/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIME*RIDE N5FA,lime ride,4789,PARIS,FR,109.21,22/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DIGITROLL KFT.,digitroll kft,7941,MATRASZENTIMR,HU,49.0,4/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Sports Clubs,0.95,rule_based,mcc_rule,no
7ELEVEN 7149 ABELHAUGE,abelhauge,5499,E TRONDHEIM,NO,79.55,6/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
COOP VITALITY-5349 KRIENS,coop vitality kriens,5912,KRIENS LU,CH,182.67,7/2/2026,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL PLWRDY7B,BE,160.66,8/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
AMAZON UK* ZI1FJ6K05,amazon,5399,LONDON,GB,66.5,25/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
GRAB* A-5IBULOOGWFVT,grab,5812,SOUTH JAKARTA,ID,39.59,16/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
AMAZON UK* ZR7AV14C4,amazon,5399,LONDON,GB,25.05,28/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
AMAZON UK* X40088TJ5,amazon,5399,LONDON,GB,174.97,10/1/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
GRUPO MARE,grupo mare,5812,FARO,PT,186.19,31/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
MF**DIAMOND C,diamond,4722,RIYADH,SA,174.57,18/2/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
ETSY.COM*MMBROIDERYDES,etsy mmbroiderydes,5699,DUBLIN 1,IE,160.4,29/12/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule,no
TRAVELOPIA D1283825-13,travelopia,4722,SPECIALIST HO,IE,190.12,31/12/2025,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
MICROSOFT-G124287614,microsoft,5045,MSBILL.INFO,CH,26.76,17/2/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,,no
AIRBALTIC.COM,airbaltic,4511,5773053829,LV,43.45,6/2/2026,travel & airlines,Airlines,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule,no
FOODORA_AT_RKPU-2446-H,foodora rkpu,5499,WIEN,AT,160.74,30/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
NOW 83F1B ENTERTAI,now entertai,5815,LONDON,GB,101.43,8/11/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
BANDCAMPPOLYTOPE,bandcamppolytope,5815,BANDCAMP.CO,US,14.78,8/12/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
FENE     -A CORU|A  03:37,fene coru,4784,A CORU#A,ES,16.49,1/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
GOPAY *FANDA-NHL.CZ,gopay fanda nhl,5651,FANDA-NHL.CZ,CZ,140.68,22/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
3786C6B20240917,,4900,ARNHEM,NL,18.14,10/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule,no
MARRAKESH GRILL,marrakesh grill,5812,LONDON,GB,19.96,14/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
MCDONALDS 46,mcdonalds,5812,OBERWART,AT,187.68,5/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
FRESSNAPF DORTMUND,fressnapf dortmund,5995,DORTMUND,DE,145.86,29/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
PRIMARK TORRE SEVILLA,primark torre sevilla,5651,SEVILLA,ES,143.09,12/2/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
MONEOS* FOOD TRAY,moneos food tray,5734,GLASGOW,GB,129.87,26/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
MEGA SUPER SANTA TERESA,mega super santa teresa,5411,PUNTARENAS,CR,51.29,1/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
MOONPAY*STAKE 9408,moonpay stake,7995,MOONPAY.COM,IE,50.87,16/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 5329A STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,56.87,18/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
MCDONALDS 8262610,mcdonalds,5814,FOLKESTONE,GB,105.52,16/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
1430 - HARMONIE MIMON,harmonie mimon,5814,MIMON,CZ,120.51,20/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
CAFETERIA DDELBA,cafeteria ddelba,5812,MADRID,ES,170.51,3/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
QDF CENTRAL CONCOURSE,qdf central concourse,5309,DOHA,QA,174.24,7/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
STELLA THEATRE,stella theatre,5812,RATHMINES,IE,72.79,17/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LIDL QUINONES,lidl quinones,5411,MADRID,ES,74.8,8/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*PASS SFNJ,lime pass sfnj,4789,BARCELONA,ES,98.69,9/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
VIRGIN AUSTRALIA - NZ - D,virgin australia,4511,BRISBANE,AU,153.59,9/1/2026,travel & airlines,Airlines,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule,no
STECROIXDELABR,stecroixdelabr,5411,PARIS,FR,65.27,12/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*2 CORSE WCTJ,lime corse wctj,4789,MILAN,IT,56.54,5/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
O17599941341640211 APP BR,,9311,TORINO,IT,54.61,26/1/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
SHAWS PORTLAOISE,shaws portlaoise,5311,PORTLAOISE,IE,168.55,3/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
OVOCNY SVETOZOR,ovocny svetozor,5441,PRAHA,CZ,126.71,12/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Candy / Nut Stores,0.95,rule_based,mcc_rule,no
TFL TRAVEL CH,tfl travel,4111,TFL.GOV.UK/CP,GB,11.78,14/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
GOPAY *MROAUTO.CZ,gopay mroauto,5533,HTTPS://KATAL,CZ,70.55,25/11/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule,no
APOTEK DRONNINGEN,apotek dronningen,5912,OSLO,NO,80.16,19/11/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
GOPAY  *AYLLA.CZ,gopay aylla,5661,PARDUBICE,CZ,183.66,17/11/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Shoe Stores,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB HMSYPK9QQ,paypal airbnb,7011,35314369001,LU,119.34,13/10/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
H7VLEAT94CQT,,4814,866-276-9470,US,192.15,17/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
FARMACIA CLEMENTI TORR,farmacia clementi torr,5912,VIAREGGIO,IT,10.39,26/10/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
REVOLUT**9654*,revolut,6012,ZURICH,CH,182.43,13/12/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
BACKEREI FLOCK,backerei flock,5462,PULHEIM,DE,116.87,29/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
RETKOZI ANDRAS E.V.,retkozi andras,5211,NYIREGYHAZA,HU,127.01,6/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Lumber & Building Materials,0.0,rule_based,,no
RIST,rist,5814,K?BENHAVN V,DK,72.85,17/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
SKYSHOWTIME CBB07 STAN,skyshowtime stan,4899,N AMSTERDAM,NL,91.71,19/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
TEDI FIL  6201,tedi fil,5651,SCHWALMSTAD,DE,159.45,25/9/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
NATIONAL TAXI,national taxi,4111,DUBAI,AE,108.26,27/9/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CAFE CELIA,cafe celia,5812,4050-521 PORT,PT,156.03,30/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
ACS*20348013 THREE,acs three,4814,ROTTERDAM,NL,164.06,22/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
SKYSHOWTIME X0966 STAN,skyshowtime stan,4899,AMSTERDAM,NL,140.89,17/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
TFL TRAVEL CH,tfl travel,4111,TFL.GOV.UK/CP,GB,7.95,6/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CARTPANDA* BUILDUP15,cartpanda,5977,CARTPANDA.COM,US,61.67,20/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
